model_name,input_token,output_token,latency_sec,tps
gpt-5.4-2026-03-05,230,108,,
gpt-5.4-2026-03-05,212,89,,
gpt-5.4-2026-03-05,116,30,,
gpt-5.4-2026-03-05,326,157,,
gpt-5.4-2026-03-05,249,92,,
gpt-5.4-2026-03-05,397,210,,
gpt-5.4-2026-03-05,390,208,,
gpt-5.4-2026-03-05,156,56,,
gpt-5.4-2026-03-05,221,98,,
gpt-5.4-2026-03-05,211,95,,
gpt-5.4-2026-03-05,222,111,,
gpt-5.4-2026-03-05,275,120,,
gpt-5.4-2026-03-05,298,146,,
gpt-5.4-2026-03-05,211,89,,
gpt-5.4-2026-03-05,319,183,,
gpt-5.4-2026-03-05,136,49,,
gpt-5.4-2026-03-05,127,37,,
gpt-5.4-2026-03-05,160,67,,
gpt-5.4-2026-03-05,133,46,,
gpt-5.4-2026-03-05,105,25,,
gpt-5.4-2026-03-05,86,10,,
gpt-5.4-2026-03-05,103,22,,
gpt-5.4-2026-03-05,89,18,,
gpt-5.4-2026-03-05,94,20,,
gpt-5.4-2026-03-05,91,16,,
gpt-5.4-2026-03-05,118,34,,
gpt-5.4-2026-03-05,111,32,,
gpt-5.4-2026-03-05,100,22,,
gpt-5.4-2026-03-05,105,21,,
gpt-5.4-2026-03-05,149,50,,
gpt-5.4-2026-03-05,156,63,,
gpt-5.4-2026-03-05,122,42,,
gpt-5.4-2026-03-05,208,91,,
gpt-5.4-2026-03-05,161,63,,
gpt-5.4-2026-03-05,117,31,,
gpt-5.4-2026-03-05,107,25,,
gpt-5.4-2026-03-05,186,68,,
gpt-5.4-2026-03-05,117,34,,
gpt-5.4-2026-03-05,159,62,,
gpt-5.4-2026-03-05,128,33,,
gpt-5.4-2026-03-05,170,62,,
gpt-5.4-2026-03-05,240,117,,
gpt-5.4-2026-03-05,98,17,,
gpt-5.4-2026-03-05,326,152,,
gpt-5.4-2026-03-05,294,159,,
gpt-5.4-2026-03-05,333,179,,
gpt-5.4-2026-03-05,325,168,,
gpt-5.4-2026-03-05,122,31,,
gpt-5.4-2026-03-05,90,12,,
gpt-5.4-2026-03-05,151,51,,
gpt-5.4-2026-03-05,128,48,,
gpt-5.4-2026-03-05,124,43,,
gpt-5.4-2026-03-05,143,52,,
gpt-5.4-2026-03-05,103,27,,
gpt-5.4-2026-03-05,133,44,,
gpt-5.4-2026-03-05,187,79,,
gpt-5.4-2026-03-05,144,40,,
gpt-5.4-2026-03-05,160,72,,
gpt-5.4-2026-03-05,123,33,,
gpt-5.4-2026-03-05,127,34,,
gpt-5.4-2026-03-05,132,43,,
gpt-5.4-2026-03-05,147,54,,
gpt-5.4-2026-03-05,155,63,,
gpt-5.4-2026-03-05,110,28,,
gpt-5.4-2026-03-05,131,44,,
gpt-5.4-2026-03-05,143,48,,
gpt-5.4-2026-03-05,123,45,,
gpt-5.4-2026-03-05,127,38,,
gpt-5.4-2026-03-05,101,21,,
gpt-5.4-2026-03-05,139,41,,
gpt-5.4-2026-03-05,203,82,,
gpt-5.4-2026-03-05,182,73,,
gpt-5.4-2026-03-05,91,17,,
gpt-5.4-2026-03-05,140,28,,
gpt-5.4-2026-03-05,113,28,,
gpt-5.4-2026-03-05,103,24,,
gpt-5.4-2026-03-05,97,19,,
gpt-5.4-2026-03-05,107,28,,
gpt-5.4-2026-03-05,109,30,,
gpt-5.4-2026-03-05,114,34,,
gpt-5.4-2026-03-05,101,19,,
gpt-5.4-2026-03-05,104,25,,
gpt-5.4-2026-03-05,107,27,,
gpt-5.4-2026-03-05,121,34,,
gpt-5.4-2026-03-05,138,53,,
gpt-5.4-2026-03-05,143,44,,
gpt-5.4-2026-03-05,113,29,,
gpt-5.4-2026-03-05,90,14,,
gpt-5.4-2026-03-05,156,54,,
gpt-5.4-2026-03-05,86,11,,
gpt-5.4-2026-03-05,90,15,,
gpt-5.4-2026-03-05,102,21,,
gpt-5.4-2026-03-05,96,19,,
gpt-5.4-2026-03-05,159,67,,
gpt-5.4-2026-03-05,233,104,,
gpt-5.4-2026-03-05,168,64,,
gpt-5.4-2026-03-05,176,70,,
gpt-5.4-2026-03-05,184,77,,
gpt-5.4-2026-03-05,172,73,,
gpt-5.4-2026-03-05,123,34,,
gpt-5.4-2026-03-05,122,32,,
gpt-5.4-2026-03-05,172,74,,
gpt-5.4-2026-03-05,230,105,,
gpt-5.4-2026-03-05,180,86,,
gpt-5.4-2026-03-05,182,89,,
gpt-5.4-2026-03-05,162,57,,
gpt-5.4-2026-03-05,281,142,,
gpt-5.4-2026-03-05,169,56,,
gpt-5.4-2026-03-05,122,32,,
gpt-5.4-2026-03-05,143,41,,
gpt-5.4-2026-03-05,156,52,,
gpt-5.4-2026-03-05,116,31,,
gpt-5.4-2026-03-05,129,38,,
gpt-5.4-2026-03-05,89,13,,
gpt-5.4-2026-03-05,153,54,,
gpt-5.4-2026-03-05,121,34,,
gpt-5.4-2026-03-05,133,43,,
gpt-5.4-2026-03-05,109,29,,
gpt-5.4-2026-03-05,107,28,,
gpt-5.4-2026-03-05,130,45,,
gpt-5.4-2026-03-05,136,41,,
gpt-5.4-2026-03-05,103,23,,
gpt-5.4-2026-03-05,129,38,,
gpt-5.4-2026-03-05,128,45,,
gpt-5.4-2026-03-05,149,52,,
gpt-5.4-2026-03-05,105,21,,
gpt-5.4-2026-03-05,103,24,,
gpt-5.4-2026-03-05,199,89,,
gpt-5.4-2026-03-05,105,23,,
gpt-5.4-2026-03-05,194,92,,
gpt-5.4-2026-03-05,95,20,,
gpt-5.4-2026-03-05,217,93,,
gpt-5.4-2026-03-05,157,63,,
gpt-5.4-2026-03-05,111,25,,
gpt-5.4-2026-03-05,101,23,,
gpt-5.4-2026-03-05,93,16,,
gpt-5.4-2026-03-05,102,22,,
gpt-5.4-2026-03-05,133,41,,
gpt-5.4-2026-03-05,109,23,,
gpt-5.4-2026-03-05,172,88,,
gpt-5.4-2026-03-05,140,42,,
gpt-5.4-2026-03-05,97,14,,
gpt-5.4-2026-03-05,148,55,,
gpt-5.4-2026-03-05,91,13,,
gpt-5.4-2026-03-05,136,46,,
gpt-5.4-2026-03-05,104,23,,
gpt-5.4-2026-03-05,180,49,,
gpt-5.4-2026-03-05,105,21,,
gpt-5.4-2026-03-05,123,47,,
gpt-5.4-2026-03-05,98,19,,
gpt-5.4-2026-03-05,96,17,,
gpt-5.4-2026-03-05,123,33,,
gpt-5.4-2026-03-05,93,15,,
gpt-5.4-2026-03-05,133,38,,
gpt-5.4-2026-03-05,116,33,,
gpt-5.4-2026-03-05,121,31,,
gpt-5.4-2026-03-05,147,50,,
gpt-5.4-2026-03-05,100,21,,
gpt-5.4-2026-03-05,138,42,,
gpt-5.4-2026-03-05,136,44,,
gpt-5.4-2026-03-05,225,102,,
gpt-5.4-2026-03-05,108,26,,
gpt-5.4-2026-03-05,111,28,,
gpt-5.4-2026-03-05,198,81,,
gpt-5.4-2026-03-05,115,28,,
gpt-5.4-2026-03-05,94,14,,
gpt-5.4-2026-03-05,122,33,,
gpt-5.4-2026-03-05,119,28,,
gpt-5.4-2026-03-05,119,32,,
gpt-5.4-2026-03-05,99,16,,
gpt-5.4-2026-03-05,123,34,,
gpt-5.4-2026-03-05,110,26,,
gpt-5.4-2026-03-05,130,41,,
gpt-5.4-2026-03-05,128,43,,
gpt-5.4-2026-03-05,166,53,,
gpt-5.4-2026-03-05,165,61,,
gpt-5.4-2026-03-05,140,50,,
gpt-5.4-2026-03-05,118,29,,
gpt-5.4-2026-03-05,118,32,,
gpt-5.4-2026-03-05,109,24,,
gpt-5.4-2026-03-05,119,36,,
gpt-5.4-2026-03-05,162,58,,
gpt-5.4-2026-03-05,103,22,,
gpt-5.4-2026-03-05,140,46,,
gpt-5.4-2026-03-05,145,49,,
gpt-5.4-2026-03-05,135,43,,
gpt-5.4-2026-03-05,121,33,,
gpt-5.4-2026-03-05,114,28,,
gpt-5.4-2026-03-05,96,19,,
gpt-5.4-2026-03-05,124,32,,
gpt-5.4-2026-03-05,105,26,,
gpt-5.4-2026-03-05,126,37,,
gpt-5.4-2026-03-05,96,20,,
gpt-5.4-2026-03-05,97,21,,
gpt-5.4-2026-03-05,135,40,,
gpt-5.4-2026-03-05,100,24,,
gpt-5.4-2026-03-05,97,17,,
gpt-5.4-2026-03-05,85,11,,
gpt-5.4-2026-03-05,128,39,,
gpt-5.4-2026-03-05,120,39,,
gpt-5.4-2026-03-05,91,16,,
gpt-5.4-2026-03-05,92,19,,
gpt-5.4-2026-03-05,149,56,,
gpt-5.4-2026-03-05,111,28,,
gpt-5.4-2026-03-05,114,30,,
gpt-5.4-2026-03-05,102,22,,
gpt-5.4-2026-03-05,119,29,,
gpt-5.4-2026-03-05,132,40,,
gpt-5.4-2026-03-05,98,18,,
gpt-5.4-2026-03-05,155,54,,
gpt-5.4-2026-03-05,148,46,,
gpt-5.4-2026-03-05,140,42,,
gpt-5.4-2026-03-05,129,40,,
gpt-5.4-2026-03-05,92,17,,
gpt-5.4-2026-03-05,112,29,,
gpt-5.4-2026-03-05,121,36,,
gpt-5.4-2026-03-05,103,19,,
gpt-5.4-2026-03-05,129,35,,
gpt-5.4-2026-03-05,150,56,,
gpt-5.4-2026-03-05,153,54,,
gpt-5.4-2026-03-05,92,15,,
gpt-5.4-2026-03-05,110,25,,
gpt-5.4-2026-03-05,115,29,,
gpt-5.4-2026-03-05,127,39,,
gpt-5.4-2026-03-05,114,31,,
gpt-5.4-2026-03-05,95,17,,
gpt-5.4-2026-03-05,117,31,,
gpt-5.4-2026-03-05,154,55,,
gpt-5.4-2026-03-05,92,17,,
gpt-5.4-2026-03-05,94,15,,
gpt-5.4-2026-03-05,119,34,,
gpt-5.4-2026-03-05,116,32,,
gpt-5.4-2026-03-05,110,29,,
gpt-5.4-2026-03-05,106,22,,
gpt-5.4-2026-03-05,106,22,,
gpt-5.4-2026-03-05,94,16,,
gpt-5.4-2026-03-05,109,27,,
gpt-5.4-2026-03-05,125,37,,
gpt-5.4-2026-03-05,101,23,,
gpt-5.4-2026-03-05,108,26,,
gpt-5.4-2026-03-05,101,26,,
gpt-5.4-2026-03-05,139,50,,
gpt-5.4-2026-03-05,98,18,,
gpt-5.4-2026-03-05,162,64,,
gpt-5.4-2026-03-05,132,44,,
gpt-5.4-2026-03-05,92,15,,
gpt-5.4-2026-03-05,99,20,,
gpt-5.4-2026-03-05,135,53,,
gpt-5.4-2026-03-05,158,50,,
gpt-5.4-2026-03-05,175,75,,
gpt-5.4-2026-03-05,153,63,,
gpt-5.4-2026-03-05,178,73,,
gpt-5.4-2026-03-05,168,56,,
gpt-5.4-2026-03-05,192,81,,
gpt-5.4-2026-03-05,122,36,,
gpt-5.4-2026-03-05,96,24,,
gpt-5.4-2026-03-05,102,24,,
gpt-5.4-2026-03-05,114,28,,
gpt-5.4-2026-03-05,117,29,,
gpt-5.4-2026-03-05,110,29,,
gpt-5.4-2026-03-05,120,29,,
gpt-5.4-2026-03-05,157,63,,
gpt-5.4-2026-03-05,133,46,,
gpt-5.4-2026-03-05,101,23,,
gpt-5.4-2026-03-05,101,20,,
gpt-5.4-2026-03-05,108,29,,
gpt-5.4-2026-03-05,162,56,,
gpt-5.4-2026-03-05,122,32,,
gpt-5.4-2026-03-05,245,114,,
gpt-5.4-2026-03-05,128,34,,
gpt-5.4-2026-03-05,145,47,,
gpt-5.4-2026-03-05,181,68,,
gpt-5.4-2026-03-05,152,59,,
gpt-5.4-2026-03-05,212,96,,
gpt-5.4-2026-03-05,325,164,,
gpt-5.4-2026-03-05,97,18,,
gpt-5.4-2026-03-05,219,98,,
gpt-5.4-2026-03-05,88,16,,
gpt-5.4-2026-03-05,93,15,,
gpt-5.4-2026-03-05,139,50,,
gpt-5.4-2026-03-05,129,40,,
gpt-5.4-2026-03-05,132,49,,
gpt-5.4-2026-03-05,143,50,,
gpt-5.4-2026-03-05,185,73,,
gpt-5.4-2026-03-05,109,28,,
gpt-5.4-2026-03-05,224,96,,
gpt-5.4-2026-03-05,131,36,,
gpt-5.4-2026-03-05,156,58,,
gpt-5.4-2026-03-05,189,74,,
gpt-5.4-2026-03-05,117,34,,
gpt-5.4-2026-03-05,116,26,,
gpt-5.4-2026-03-05,122,35,,
gpt-5.4-2026-03-05,135,42,,
gpt-5.4-2026-03-05,152,56,,
gpt-5.4-2026-03-05,115,29,,
gpt-5.4-2026-03-05,92,18,,
gpt-5.4-2026-03-05,115,35,,
gpt-5.4-2026-03-05,193,90,,
gpt-5.4-2026-03-05,120,35,,
gpt-5.4-2026-03-05,108,27,,
gpt-5.4-2026-03-05,123,38,,
gpt-5.4-2026-03-05,131,34,,
gpt-5.4-2026-03-05,135,46,,
gpt-5.4-2026-03-05,122,35,,
gpt-5.4-2026-03-05,158,53,,
gpt-5.4-2026-03-05,217,99,,
gpt-5.4-2026-03-05,119,33,,
gpt-5.4-2026-03-05,98,20,,
gpt-5.4-2026-03-05,171,65,,
gpt-5.4-2026-03-05,137,42,,
gpt-5.4-2026-03-05,152,51,,
gpt-5.4-2026-03-05,103,23,,
gpt-5.4-2026-03-05,129,40,,
gpt-5.4-2026-03-05,85,12,,
gpt-5.4-2026-03-05,149,51,,
gpt-5.4-2026-03-05,163,52,,
gpt-5.4-2026-03-05,141,51,,
gpt-5.4-2026-03-05,123,40,,
gpt-5.4-2026-03-05,128,46,,
gpt-5.4-2026-03-05,105,22,,
gpt-5.4-2026-03-05,128,39,,
gpt-5.4-2026-03-05,131,52,,
gpt-5.4-2026-03-05,100,19,,
gpt-5.4-2026-03-05,152,54,,
gpt-5.4-2026-03-05,89,15,,
gpt-5.4-2026-03-05,166,48,,
gpt-5.4-2026-03-05,103,22,,
gpt-5.4-2026-03-05,139,44,,
gpt-5.4-2026-03-05,114,27,,
gpt-5.4-2026-03-05,106,27,,
gpt-5.4-2026-03-05,111,29,,
gpt-5.4-2026-03-05,133,36,,
gpt-5.4-2026-03-05,133,53,,
gpt-5.4-2026-03-05,99,21,,
gpt-5.4-2026-03-05,142,49,,
gpt-5.4-2026-03-05,102,20,,
gpt-5.4-2026-03-05,118,40,,
gpt-5.4-2026-03-05,92,14,,
gpt-5.4-2026-03-05,130,40,,
gpt-5.4-2026-03-05,154,57,,
gpt-5.4-2026-03-05,121,31,,
gpt-5.4-2026-03-05,148,54,,
gpt-5.4-2026-03-05,107,21,,
gpt-5.4-2026-03-05,130,46,,
gpt-5.4-2026-03-05,167,61,,
gpt-5.4-2026-03-05,164,30,,
gpt-5.4-2026-03-05,117,28,,
gpt-5.4-2026-03-05,102,24,,
gpt-5.4-2026-03-05,145,48,,
gpt-5.4-2026-03-05,109,26,,
gpt-5.4-2026-03-05,101,19,,
gpt-5.4-2026-03-05,108,26,,
gpt-5.4-2026-03-05,90,13,,
gpt-5.4-2026-03-05,110,29,,
gpt-5.4-2026-03-05,90,13,,
gpt-5.4-2026-03-05,170,61,,
gpt-5.4-2026-03-05,137,47,,
gpt-5.4-2026-03-05,157,51,,
gpt-5.4-2026-03-05,211,97,,
gpt-5.4-2026-03-05,96,22,,
gpt-5.4-2026-03-05,134,43,,
gpt-5.4-2026-03-05,143,58,,
gpt-5.4-2026-03-05,117,30,,
gpt-5.4-2026-03-05,108,27,,
gpt-5.4-2026-03-05,173,70,,
gpt-5.4-2026-03-05,154,40,,
gpt-5.4-2026-03-05,91,14,,
gpt-5.4-2026-03-05,117,29,,
gpt-5.4-2026-03-05,189,78,,
gpt-5.4-2026-03-05,93,16,,
gpt-5.4-2026-03-05,109,30,,
gpt-5.4-2026-03-05,97,19,,
gpt-5.4-2026-03-05,85,11,,
gpt-5.4-2026-03-05,86,12,,
gpt-5.4-2026-03-05,98,18,,
gpt-5.4-2026-03-05,134,41,,
gpt-5.4-2026-03-05,124,32,,
gpt-5.4-2026-03-05,109,25,,
gpt-5.4-2026-03-05,101,20,,
gpt-5.4-2026-03-05,117,31,,
gpt-5.4-2026-03-05,112,26,,
gpt-5.4-2026-03-05,101,19,,
gpt-5.4-2026-03-05,123,33,,
gpt-5.4-2026-03-05,91,16,,
gpt-5.4-2026-03-05,117,31,,
gpt-5.4-2026-03-05,114,35,,
gpt-5.4-2026-03-05,133,42,,
gpt-5.4-2026-03-05,87,12,,
gpt-5.4-2026-03-05,113,26,,
gpt-5.4-2026-03-05,124,33,,
gpt-5.4-2026-03-05,87,12,,
gpt-5.4-2026-03-05,98,18,,
gpt-5.4-2026-03-05,97,20,,
gpt-5.4-2026-03-05,107,26,,
gpt-5.4-2026-03-05,180,70,,
gpt-5.4-2026-03-05,101,22,,
gpt-5.4-2026-03-05,130,36,,
gpt-5.4-2026-03-05,87,12,,
gpt-5.4-2026-03-05,93,13,,
gpt-5.4-2026-03-05,102,21,,
gpt-5.4-2026-03-05,96,17,,
gpt-5.4-2026-03-05,90,13,,
gpt-5.4-2026-03-05,107,26,,
gpt-5.4-2026-03-05,117,35,,
gpt-5.4-2026-03-05,126,34,,
gpt-5.4-2026-03-05,101,21,,
gpt-5.4-2026-03-05,110,24,,
gpt-5.4-2026-03-05,102,23,,
gpt-5.4-2026-03-05,96,16,,
gpt-5.4-2026-03-05,161,57,,
gpt-5.4-2026-03-05,109,28,,
gpt-5.4-2026-03-05,100,20,,
gpt-5.4-2026-03-05,93,18,,
gpt-5.4-2026-03-05,125,36,,
gpt-5.4-2026-03-05,121,31,,
gpt-5.4-2026-03-05,109,22,,
gpt-5.4-2026-03-05,96,21,,
gpt-5.4-2026-03-05,112,29,,
gpt-5.4-2026-03-05,123,36,,
gpt-5.4-2026-03-05,122,41,,
gpt-5.4-2026-03-05,185,75,,
gpt-5.4-2026-03-05,117,33,,
gpt-5.4-2026-03-05,146,51,,
gpt-5.4-2026-03-05,172,58,,
gpt-5.4-2026-03-05,101,20,,
gpt-5.4-2026-03-05,101,20,,
gpt-5.4-2026-03-05,101,22,,
gpt-5.4-2026-03-05,98,24,,
gpt-5.4-2026-03-05,102,19,,
gpt-5.4-2026-03-05,97,19,,
gpt-5.4-2026-03-05,106,24,,
gpt-5.4-2026-03-05,90,14,,
gpt-5.4-2026-03-05,107,23,,
gpt-5.4-2026-03-05,97,18,,
gpt-5.4-2026-03-05,85,11,,
gpt-5.4-2026-03-05,111,29,,
gpt-5.4-2026-03-05,121,35,,
gpt-5.4-2026-03-05,132,36,,
gpt-5.4-2026-03-05,129,42,,
gpt-5.4-2026-03-05,183,65,,
gpt-5.4-2026-03-05,238,100,,
gpt-5.4-2026-03-05,172,77,,
gpt-5.4-2026-03-05,177,66,,
gpt-5.4-2026-03-05,99,22,,
gpt-5.4-2026-03-05,122,41,,
gpt-5.4-2026-03-05,135,40,,
gpt-5.4-2026-03-05,91,16,,
gpt-5.4-2026-03-05,147,44,,
gpt-5.4-2026-03-05,91,15,,
gpt-5.4-2026-03-05,96,16,,
gpt-5.4-2026-03-05,201,98,,
gpt-5.4-2026-03-05,89,14,,
gpt-5.4-2026-03-05,137,48,,
gpt-5.4-2026-03-05,108,28,,
gpt-5.4-2026-03-05,174,56,,
gpt-5.4-2026-03-05,96,19,,
gpt-5.4-2026-03-05,117,30,,
gpt-5.4-2026-03-05,170,84,,
gpt-5.4-2026-03-05,143,42,,
gpt-5.4-2026-03-05,154,65,,
gpt-5.4-2026-03-05,103,26,,
gpt-5.4-2026-03-05,99,18,,
gpt-5.4-2026-03-05,128,35,,
gpt-5.4-2026-03-05,99,23,,
gpt-5.4-2026-03-05,98,19,,
gpt-5.4-2026-03-05,115,33,,
gpt-5.4-2026-03-05,106,23,,
gpt-5.4-2026-03-05,129,38,,
gpt-5.4-2026-03-05,142,59,,
gpt-5.4-2026-03-05,110,26,,
gpt-5.4-2026-03-05,136,45,,
gpt-5.4-2026-03-05,123,42,,
gpt-5.4-2026-03-05,181,73,,
gpt-5.4-2026-03-05,152,51,,
gpt-5.4-2026-03-05,187,64,,
gpt-5.4-2026-03-05,153,50,,
gpt-5.4-2026-03-05,103,23,,
gpt-5.4-2026-03-05,201,86,,
gpt-5.4-2026-03-05,207,83,,
gpt-5.4-2026-03-05,88,13,,
gpt-5.4-2026-03-05,104,21,,
gpt-5.4-2026-03-05,96,18,,
gpt-5.4-2026-03-05,110,24,,
gpt-5.4-2026-03-05,141,47,,
gpt-5.4-2026-03-05,101,19,,
gpt-5.4-2026-03-05,209,82,,
gpt-5.4-2026-03-05,138,43,,
gpt-5.4-2026-03-05,137,44,,
gpt-5.4-2026-03-05,227,97,,
gpt-5.4-2026-03-05,90,13,,
gpt-5.4-2026-03-05,100,22,,
gpt-5.4-2026-03-05,207,81,,
gpt-5.4-2026-03-05,110,25,,
gpt-5.4-2026-03-05,115,31,,
gpt-5.4-2026-03-05,221,94,,
gpt-5.4-2026-03-05,155,55,,
gpt-5.4-2026-03-05,138,42,,
gpt-5.4-2026-03-05,97,18,,
gpt-5.4-2026-03-05,91,14,,
gpt-5.4-2026-03-05,163,61,,
gpt-5.4-2026-03-05,89,14,,
gpt-5.4-2026-03-05,103,20,,
gpt-5.4-2026-03-05,106,23,,
gpt-5.4-2026-03-05,100,20,,
gpt-5.4-2026-03-05,89,12,,
gpt-5.4-2026-03-05,426,243,,
gpt-5.4-2026-03-05,114,25,,
gpt-5.4-2026-03-05,378,207,,
gpt-5.4-2026-03-05,386,194,,
gpt-5.4-2026-03-05,485,293,,
gpt-5.4-2026-03-05,295,153,,
gpt-5.4-2026-03-05,386,193,,
gpt-5.4-2026-03-05,379,179,,
gpt-5.4-2026-03-05,417,237,,
gpt-5.4-2026-03-05,437,224,,
gpt-5.4-2026-03-05,276,136,,
gpt-5.4-2026-03-05,375,170,,
gpt-5.4-2026-03-05,609,346,,
gpt-5.4-2026-03-05,427,257,,
gpt-5.4-2026-03-05,87,11,,
gpt-5.4-2026-03-05,114,25,,
gpt-5.4-2026-03-05,524,298,,
